pitcher_pcode,pitcher_name,first_pitch_count,fps_zone_count,fps_called_count,fps_zone_pct,fps_called_pct,fps_framing
65062,김재윤,228,139,133,60.96,58.33,-2.63
55348,웰스,84,51,49,60.71,58.33,-2.38
52992,이준혁,163,88,94,53.99,57.67,3.68
64001,고영표,706,377,405,53.4,57.37,3.97
65665,이준영,136,75,78,55.15,57.35,2.21
63543,구승민,42,22,24,52.38,57.14,4.76
69108,이지강,225,128,127,56.89,56.44,-0.44
53259,최준호,98,52,55,53.06,56.12,3.06
60559,박시영,41,21,23,51.22,56.1,4.88
54833,앤더슨,725,395,406,54.48,56.0,1.52
55342,메르세데스,195,112,109,57.44,55.9,-1.54
68092,한두솔,167,90,93,53.89,55.69,1.8
54119,에르난데스,311,177,173,56.91,55.63,-1.29
50030,소형준,643,403,357,62.67,55.52,-7.15
77446,백정현,146,77,81,52.74,55.48,2.74
67419,문용익,128,64,71,50.0,55.47,5.47
53262,김유성,112,63,62,56.25,55.36,-0.89
68900,김영규,172,92,95,53.49,55.23,1.74
55239,잭로그,748,443,413,59.22,55.21,-4.01
68902,신민혁,573,333,316,58.12,55.15,-2.97
76430,김상수,181,103,99,56.91,54.7,-2.21
67266,박치국,251,139,137,55.38,54.58,-0.8
55764,권민규,33,18,18,54.55,54.55,0.0
55730,폰세,724,384,394,53.04,54.42,1.38
55903,라일리,738,389,401,52.71,54.34,1.63
55032,패트릭,258,150,140,58.14,54.26,-3.88
55633,올러,643,341,348,53.03,54.12,1.09
69041,손동현,254,150,137,59.06,53.94,-5.12
50106,유영찬,158,76,85,48.1,53.8,5.7
69134,이정용,136,69,73,50.74,53.68,2.94
54802,박기호,101,51,54,50.5,53.47,2.97
69045,알칸타라,481,257,257,53.43,53.43,0.0
54503,박준우,73,37,39,50.68,53.42,2.74
52202,윤태호,73,46,39,63.01,53.42,-9.59
69516,김현수,75,46,40,61.33,53.33,-8.0
69446,원태인,663,387,352,58.37,53.09,-5.28
51897,조병현,234,122,124,52.14,52.99,0.85
76715,류현진,585,323,310,55.21,52.99,-2.22
77829,김광현,664,366,351,55.12,52.86,-2.26
65516,배제성,123,65,65,52.85,52.85,0.0
69213,윤산흠,72,36,38,50.0,52.78,2.78
51526,우강훈,57,28,30,49.12,52.63,3.51
65933,구창모,57,34,30,59.65,52.63,-7.02
55912,로건,775,423,407,54.58,52.52,-2.06
52809,전영준,218,119,114,54.59,52.29,-2.29
68220,곽빈,482,266,252,55.19,52.28,-2.9
55146,치리노스,764,394,399,51.57,52.23,0.65
52395,윤석원,152,82,79,53.95,51.97,-1.97
53455,이호성,237,128,123,54.01,51.9,-2.11
54729,황준서,237,120,123,50.63,51.9,1.27
54640,네일,679,362,352,53.31,51.84,-1.47
55215,양재훈,85,49,44,57.65,51.76,-5.88
54768,조동욱,288,148,149,51.39,51.74,0.35
54354,헤이수스,719,372,372,51.74,51.74,0.0
67143,손주영,673,362,348,53.79,51.71,-2.08
54443,레예스,211,113,109,53.55,51.66,-1.9
52060,박영현,283,156,146,55.12,51.59,-3.53
51264,최승용,537,294,277,54.75,51.58,-3.17
69054,이상동,169,74,87,43.79,51.48,7.69
64021,박세웅,760,441,391,58.03,51.45,-6.58
75867,김진성,280,150,144,53.57,51.43,-2.14
55455,배찬승,230,113,118,49.13,51.3,2.17
62363,한현희,41,20,21,48.78,51.22,2.44
55268,최민석,332,166,170,50.0,51.2,1.2
52206,최지강,137,60,70,43.8,51.09,7.3
62360,김태훈,294,147,150,50.0,51.02,1.02
55855,화이트,557,288,284,51.71,50.99,-0.72
77211,이용찬,102,57,52,55.88,50.98,-4.9
73117,우규민,175,95,89,54.29,50.86,-3.43
53375,후라도,811,466,412,57.46,50.8,-6.66
54537,정현수,194,104,98,53.61,50.52,-3.09
61101,임찬규,682,370,344,54.25,50.44,-3.81
50596,홍민기,125,62,63,49.6,50.4,0.8
53892,이로운,304,141,153,46.38,50.33,3.95
77637,양현종,692,361,348,52.17,50.29,-1.88
65056,엄상백,410,217,206,52.93,50.24,-2.68
51111,송승기,641,325,322,50.7,50.23,-0.47
64768,조이현,50,30,25,60.0,50.0,-10.0
53164,김동규,54,22,27,40.74,50.0,9.26
65048,김민수,214,113,107,52.8,50.0,-2.8
65320,최원태,577,329,288,57.02,49.91,-7.11
65522,김강현,303,149,151,49.17,49.83,0.66
54263,김택연,265,130,132,49.06,49.81,0.75
69745,김도현,587,320,292,54.51,49.74,-4.77
68415,양창섭,286,147,142,51.4,49.65,-1.75
68249,박신지,248,125,123,50.4,49.6,-0.81
69328,박주성,231,121,114,52.38,49.35,-3.03
78352,임창민,75,36,37,48.0,49.33,1.33
67703,박상원,280,147,138,52.5,49.29,-3.21
68928,김시훈,126,56,62,44.44,49.21,4.76
54904,손주환,224,123,110,54.91,49.11,-5.8
64580,김재열,110,58,54,52.73,49.09,-3.64
79140,최동환,98,55,48,56.12,48.98,-7.14
54610,성영탁,186,97,91,52.15,48.92,-3.23
55460,가라비토,323,158,158,48.92,48.92,0.0
55130,톨허스트,182,108,89,59.34,48.9,-10.44
53301,박윤성,223,103,109,46.19,48.88,2.69
50859,오원석,578,299,282,51.73,48.79,-2.94
67588,윤성빈,123,57,60,46.34,48.78,2.44
55532,감보아,470,229,229,48.72,48.72,0.0
67828,김성민,111,56,54,50.45,48.65,-1.8
69047,전용주,72,37,35,51.39,48.61,-2.78
67263,최원준,467,211,227,45.18,48.61,3.43
55322,로젠버그,352,180,171,51.14,48.58,-2.56
62754,임기영,70,38,34,54.29,48.57,-5.71
68419,최채흥,140,83,68,59.29,48.57,-10.71
65707,주현상,198,99,96,50.0,48.48,-1.52
69360,조영건,347,174,168,50.14,48.41,-1.73
54755,와이스,759,380,367,50.07,48.35,-1.71
52903,조민석,58,28,28,48.28,48.28,0.0
64350,하영민,705,373,340,52.91,48.23,-4.68
62951,이형범,52,30,25,57.69,48.08,-9.62
63342,조상우,256,119,123,46.48,48.05,1.56
50556,최준용,215,100,103,46.51,47.91,1.4
61666,한승혁,259,132,124,50.97,47.88,-3.09
55536,데이비슨,550,267,263,48.55,47.82,-0.73
69594,박진,316,167,151,52.85,47.78,-5.06
54319,김윤하,453,220,215,48.57,47.46,-1.1
64995,배재환,253,117,120,46.25,47.43,1.19
69032,쿠에바스,477,232,226,48.64,47.38,-1.26
67116,오석주,243,116,115,47.74,47.33,-0.41
73211,노경은,296,146,140,49.32,47.3,-2.03
52701,문동주,508,258,240,50.79,47.24,-3.54
51460,이재희,36,17,17,47.22,47.22,0.0
65060,주권,180,92,85,51.11,47.22,-3.89
68043,김민,259,118,122,45.56,47.1,1.54
65949,류진욱,259,138,122,53.28,47.1,-6.18
63765,김종수,272,127,128,46.69,47.06,0.37
65769,김범수,187,82,88,43.85,47.06,3.21
67962,소이현,32,17,15,53.13,46.88,-6.25
51454,이승현,483,243,226,50.31,46.79,-3.52
63959,임정호,92,40,43,43.48,46.74,3.26
50662,정해영,259,118,121,45.56,46.72,1.16
61643,홍건희,86,34,40,39.53,46.51,6.98
55743,정우주,228,106,106,46.49,46.49,0.0
54063,원상현,263,133,122,50.57,46.39,-4.18
68269,김호준,69,27,32,39.13,46.38,7.25
69620,김기훈,123,57,57,46.34,46.34,0.0
53613,윤영철,254,113,117,44.49,46.06,1.57
53615,이도현,63,28,29,44.44,46.03,1.59
54368,김연주,263,131,121,49.81,46.01,-3.8
52639,최지민,250,120,115,48.0,46.0,-2.0
51594,송재영,124,59,57,47.58,45.97,-1.61
55257,콜어빈,671,326,308,48.58,45.9,-2.68
50464,이승민,266,144,122,54.14,45.86,-8.27
61145,이우찬,94,43,43,45.74,45.74,0.0
68200,김민규,46,18,21,39.13,45.65,6.52
67246,김명신,57,32,26,56.14,45.61,-10.53
65639,박정수,125,52,57,41.6,45.6,4.0
66018,김선기,382,195,174,51.05,45.55,-5.5
52641,황동하,178,88,81,49.44,45.51,-3.93
67539,나균안,636,319,289,50.16,45.44,-4.72
62869,문승원,477,229,216,48.01,45.28,-2.73
68242,정철원,292,147,132,50.34,45.21,-5.14
69113,임준형,40,21,18,52.5,45.0,-7.5
51867,김건우,318,139,143,43.71,44.97,1.26
62528,김원중,258,112,116,43.41,44.96,1.55
68896,이채호,49,18,22,36.73,44.9,8.16
68856,최민준,292,133,131,45.55,44.86,-0.68
67365,양지율,67,25,30,37.31,44.78,7.46
51715,김기중,65,30,29,46.15,44.62,-1.54
66920,최성영,240,116,107,48.33,44.58,-3.75
60841,박종훈,119,56,53,47.06,44.54,-2.52
66609,전상현,263,139,117,52.85,44.49,-8.37
60768,이태양,54,27,24,50.0,44.44,-5.56
69969,전사민,367,189,163,51.5,44.41,-7.08
53139,박명근,158,76,70,48.1,44.3,-3.8
67954,김진호,296,128,131,43.24,44.26,1.01
55313,정현우,424,200,187,47.17,44.1,-3.07
60146,이승현,161,77,71,47.83,44.1,-3.73
55995,김태훈,93,41,41,44.09,44.09,0.0
53973,목지훈,307,158,135,51.47,43.97,-7.49
52330,주승우,173,76,76,43.93,43.93,0.0
50992,김태경,82,37,36,45.12,43.9,-1.22
52528,반즈,217,104,95,47.93,43.78,-4.15
63950,장현식,218,107,95,49.08,43.58,-5.5
53898,송영진,301,146,131,48.5,43.52,-4.98
50812,박시후,223,108,97,48.43,43.5,-4.93
65109,백승현,138,65,60,47.1,43.48,-3.62
55526,벨라스케즈,168,87,73,51.79,43.45,-8.33
55138,코엔 윈,106,46,46,43.4,43.4,0.0
68639,하준영,30,15,13,50.0,43.33,-6.67
55040,김동현,30,10,13,33.33,43.33,10.0
66291,이영하,296,123,128,41.55,43.24,1.69
76225,김건국,211,99,91,46.92,43.13,-3.79
66858,정동윤,107,45,46,42.06,42.99,0.93
52995,김녹원,322,161,138,50.0,42.86,-7.14
72523,고효준,91,35,39,38.46,42.86,4.4
54404,육선엽,145,58,62,40.0,42.76,2.76
55610,김태형,113,50,48,44.25,42.48,-1.77
77263,김강률,59,30,25,50.85,42.37,-8.47
50211,제환유,78,39,33,50.0,42.31,-7.69
55167,김영우,256,119,106,46.48,41.41,-5.08
63248,함덕주,99,49,41,49.49,41.41,-8.08
51516,김진욱,148,67,61,45.27,41.22,-4.05
52530,이민석,421,192,172,45.61,40.86,-4.75
54803,최현석,76,33,31,43.42,40.79,-2.63
54903,최우석,86,32,35,37.21,40.7,3.49
65343,김택형,87,32,35,36.78,40.23,3.45
55394,박정훈,112,46,45,41.07,40.18,-0.89
50441,황동재,110,39,44,35.45,40.0,4.55
53754,김서현,251,101,100,40.24,39.84,-0.4
55267,홍민규,174,82,69,47.13,39.66,-7.47
68830,김정우,96,49,38,51.04,39.58,-11.46
54362,전준표,139,59,55,42.45,39.57,-2.88
54401,김대호,132,55,52,41.67,39.39,-2.27
73801,송은범,51,26,20,50.98,39.22,-11.76
50036,이강준,120,49,47,40.83,39.17,-1.67
55301,이준우,115,48,45,41.74,39.13,-2.61
68159,성동현,53,20,20,37.74,37.74,0.0
65117,이상규,59,34,22,57.63,37.29,-20.34
50650,최용준,33,15,12,45.45,36.36,-9.09
63492,이재익,45,22,16,48.89,35.56,-13.33
53006,강건,31,10,11,32.26,35.48,3.23
75421,오승환,51,25,18,49.02,35.29,-13.73
76118,원종현,235,96,82,40.85,34.89,-5.96
51994,한재승,172,64,60,37.21,34.88,-2.33
60337,김대유,49,24,17,48.98,34.69,-14.29
55359,김서준,61,26,21,42.62,34.43,-8.2
55663,이호민,67,25,23,37.31,34.33,-2.99
68619,윤중현,41,22,14,53.66,34.15,-19.51
51648,이의리,193,73,64,37.82,33.16,-4.66
52204,이병헌,64,26,20,40.63,31.25,-9.38
55396,윤현,142,44,44,30.99,30.99,0.0
63145,배재준,50,16,15,32.0,30.0,-2.0
53919,신영우,78,22,22,28.21,28.21,0.0
64596,김유영,36,9,10,25.0,27.78,2.78
